,x,l,d,q,e,L,T
0,0,"10,000,000","57,300",0.005730,72.91,"9,971,350","729,073,772"
1,1,"9,942,700","9,625",0.000968,72.32,"9,937,888","719,102,422"
2,2,"9,933,075","7,470",0.000752,71.39,"9,929,340","709,164,534"
3,3,"9,925,605","5,797",0.000584,70.45,"9,922,707","699,235,194"
4,4,"9,919,808","4,682",0.000472,69.49,"9,917,467","689,312,487"
5,5,"9,915,126","3,887",0.000392,68.52,"9,913,183","679,395,020"
6,6,"9,911,239","3,489",0.000352,67.55,"9,909,495","669,481,837"
7,7,"9,907,750","3,250",0.000328,66.57,"9,906,125","659,572,342"
8,8,"9,904,500","3,169",0.000320,65.59,"9,902,916","649,666,217"
9,9,"9,901,331","3,089",0.000312,64.61,"9,899,787","639,763,301"
10,10,"9,898,242","2,930",0.000296,63.63,"9,896,777","629,863,514"
11,11,"9,895,312","2,850",0.000288,62.65,"9,893,887","619,966,737"
12,12,"9,892,462","3,007",0.000304,61.67,"9,890,959","610,072,850"
13,13,"9,889,455","3,718",0.000376,60.69,"9,887,596","600,181,891"
14,14,"9,885,737","5,220",0.000528,59.71,"9,883,127","590,294,295"
15,15,"9,880,517","7,430",0.000752,58.74,"9,876,802","580,411,168"
16,16,"9,873,087","10,031",0.001016,57.79,"9,868,072","570,534,366"
17,17,"9,863,056","12,427",0.001260,56.85,"9,856,843","560,666,294"
18,18,"9,850,629","12,688",0.001288,55.92,"9,844,285","550,809,451"
19,19,"9,837,941","12,839",0.001305,54.99,"9,831,522","540,965,166"
20,20,"9,825,102","12,900",0.001313,54.06,"9,818,652","531,133,644"
21,21,"9,812,202","12,903",0.001315,53.13,"9,805,751","521,314,992"
22,22,"9,799,299","12,857",0.001312,52.20,"9,792,871","511,509,241"
23,23,"9,786,442","12,791",0.001307,51.27,"9,780,047","501,716,370"
24,24,"9,773,651","12,716",0.001301,50.33,"9,767,293","491,936,323"
25,25,"9,760,935","12,670",0.001298,49.40,"9,754,600","482,169,030"
26,26,"9,748,265","12,663",0.001299,48.46,"9,741,934","472,414,430"
27,27,"9,735,602","12,724",0.001307,47.52,"9,729,240","462,672,496"
28,28,"9,722,878","12,863",0.001323,46.59,"9,716,447","452,943,256"
29,29,"9,710,015","13,118",0.001351,45.65,"9,703,456","443,226,809"
30,30,"9,696,897","13,508",0.001393,44.71,"9,690,143","433,523,353"
31,31,"9,683,389","14,060",0.001452,43.77,"9,676,359","423,833,210"
32,32,"9,669,329","14,794",0.001530,42.83,"9,661,932","414,156,851"
33,33,"9,654,535","15,737",0.001630,41.90,"9,646,667","404,494,919"
34,34,"9,638,798","16,868",0.001750,40.96,"9,630,364","394,848,252"
35,35,"9,621,930","18,147",0.001886,40.04,"9,612,857","385,217,888"
36,36,"9,603,783","19,563",0.002037,39.11,"9,594,002","375,605,031"
37,37,"9,584,220","21,095",0.002201,38.19,"9,573,673","366,011,029"
38,38,"9,563,125","22,703",0.002374,37.27,"9,551,774","356,437,356"
39,39,"9,540,422","24,423",0.002560,36.36,"9,528,211","346,885,582"
40,40,"9,515,999","26,274",0.002761,35.45,"9,502,862","337,357,371"
41,41,"9,489,725","28,279",0.002980,34.55,"9,475,586","327,854,509"
42,42,"9,461,446","30,466",0.003220,33.65,"9,446,213","318,378,923"
43,43,"9,430,980","32,858",0.003484,32.76,"9,414,551","308,932,710"
44,44,"9,398,122","35,440",0.003771,31.87,"9,380,402","299,518,159"
45,45,"9,362,682","38,237",0.004084,30.99,"9,343,564","290,137,757"
46,46,"9,324,445","41,223",0.004421,30.11,"9,303,834","280,794,193"
47,47,"9,283,222","44,411",0.004784,29.25,"9,261,017","271,490,359"
48,48,"9,238,811","47,811",0.005175,28.38,"9,214,906","262,229,342"
49,49,"9,191,000","51,442",0.005597,27.53,"9,165,279","253,014,436"
50,50,"9,139,558","55,349",0.006056,26.68,"9,111,884","243,849,157"
51,51,"9,084,209","59,574",0.006558,25.84,"9,054,422","234,737,273"
52,52,"9,024,635","64,147",0.007108,25.01,"8,992,562","225,682,851"
53,53,"8,960,488","69,112",0.007713,24.18,"8,925,932","216,690,289"
54,54,"8,891,376","74,510",0.008380,23.37,"8,854,121","207,764,357"
55,55,"8,816,866","80,392",0.009118,22.56,"8,776,670","198,910,236"
